Date,Time,Open,High,Low,Close,Vol,OI
04/11/2006,16:00:00,68.32000,68.39000,67.30000,68.20000,1297100,0
04/12/2006,16:00:00,68.22000,68.81000,67.81000,67.84000,1248300,0
04/13/2006,16:00:00,67.50000,68.99000,67.40000,68.82000,560700,0
04/17/2006,16:00:00,69.20000,69.90000,68.68000,69.79000,917700,0
04/18/2006,16:00:00,70.10000,71.05000,69.57000,70.75000,922700,0
04/19/2006,16:00:00,70.58000,72.16000,70.49000,71.85000,789800,0
04/20/2006,16:00:00,71.92000,72.16000,70.51000,71.09000,843200,0
04/21/2006,16:00:00,70.89000,73.23000,70.80000,72.81000,1073600,0
04/24/2006,16:00:00,71.40000,72.45000,70.79000,71.01000,1042800,0
04/25/2006,16:00:00,71.68000,71.81000,69.62000,70.64000,2853900,0
04/26/2006,16:00:00,70.44000,70.85000,69.45000,69.54000,899200,0
04/27/2006,16:00:00,69.10000,69.58000,68.57000,68.70000,635600,0
04/28/2006,16:00:00,69.26000,70.50000,68.99000,69.62000,868100,0
05/01/2006,16:00:00,70.15000,71.65000,70.00000,71.50000,555500,0
05/02/2006,16:00:00,71.84000,72.69000,71.34000,72.34000,871000,0
05/03/2006,16:00:00,72.48000,72.48000,70.00000,70.22000,1015000,0
05/04/2006,16:00:00,69.37000,69.77000,67.28000,68.32000,1557500,0
05/05/2006,16:00:00,68.30000,68.47000,67.68000,68.00000,673700,0
05/08/2006,16:00:00,67.13000,67.99000,66.30000,67.88000,1312300,0
05/09/2006,16:00:00,67.99000,69.18000,67.76000,68.40000,783000,0
05/10/2006,16:00:00,68.32000,69.77000,67.48000,69.77000,704500,0
05/11/2006,16:00:00,71.00000,71.05000,69.92000,70.30000,1035500,0
05/12/2006,16:00:00,70.44000,70.44000,69.04000,69.11000,607600,0
05/15/2006,16:00:00,67.47000,67.77000,66.45000,66.63000,669900,0
05/16/2006,16:00:00,67.07000,67.90000,66.31000,66.70000,802000,0
05/17/2006,16:00:00,66.67000,66.75000,65.39000,65.70000,822700,0
05/18/2006,16:00:00,65.68000,66.79000,65.10000,66.74000,656700,0
05/19/2006,16:00:00,66.00000,66.46000,65.15000,65.57000,812100,0
05/22/2006,16:00:00,64.89000,66.57000,64.89000,66.28000,769700,0
05/23/2006,16:00:00,67.25000,68.42000,67.21000,67.77000,630900,0
05/24/2006,16:00:00,67.21000,67.93000,66.05000,66.10000,400700,0
05/25/2006,16:00:00,66.68000,67.88000,66.31000,67.80000,300300,0
05/26/2006,16:00:00,67.46000,68.23000,67.33000,67.75000,269500,0
05/30/2006,16:00:00,68.72000,69.08000,68.22000,68.32000,489400,0
05/31/2006,16:00:00,67.64000,67.91000,66.58000,67.73000,471700,0
06/01/2006,16:00:00,66.84000,68.25000,66.51000,66.82000,922800,0
06/02/2006,16:00:00,67.76000,69.15000,67.55000,68.90000,443500,0
06/05/2006,16:00:00,69.69000,69.78000,68.44000,68.74000,393200,0
06/06/2006,16:00:00,68.09000,68.95000,67.80000,68.76000,179800,0
06/07/2006,16:00:00,68.27000,68.33000,67.01000,67.28000,360000,0
06/08/2006,16:00:00,66.53000,67.12000,65.81000,67.12000,308300,0
06/09/2006,16:00:00,67.50000,68.20000,67.50000,68.07000,342000,0
06/12/2006,16:00:00,68.39000,68.39000,66.86000,67.08000,213200,0
06/13/2006,16:00:00,65.94000,66.23000,65.13000,65.18000,602700,0
06/14/2006,16:00:00,65.51000,65.91000,65.00000,65.79000,333400,0
06/15/2006,16:00:00,66.35000,66.52000,65.95000,66.16000,308700,0
06/16/2006,16:00:00,65.97000,66.47000,65.25000,66.25000,218700,0
06/19/2006,16:00:00,65.82000,65.86000,64.99000,65.54000,188000,0
06/20/2006,16:00:00,65.91000,66.20000,64.92000,65.29000,216400,0
06/21/2006,16:00:00,65.34000,66.73000,65.03000,66.35000,240800,0
06/22/2006,16:00:00,66.69000,67.03000,66.19000,67.00000,237400,0
06/23/2006,16:00:00,66.43000,67.21000,66.37000,66.89000,119100,0
06/26/2006,16:00:00,66.67000,67.85000,66.50000,67.70000,184000,0
06/27/2006,16:00:00,68.13000,68.42000,67.63000,68.08000,347400,0
06/28/2006,16:00:00,67.97000,68.72000,67.59000,68.31000,240300,0
06/29/2006,16:00:00,68.35000,69.59000,68.31000,69.51000,479000,0
06/30/2006,16:00:00,69.51000,70.02000,69.43000,69.77000,259400,0
07/03/2006,16:00:00,70.21000,70.37000,69.93000,69.93000,168100,0
07/05/2006,16:00:00,69.89000,71.15000,69.78000,71.00000,496400,0
07/06/2006,16:00:00,70.80000,71.10000,70.20000,70.77000,337000,0
07/07/2006,16:00:00,71.43000,71.50000,69.77000,69.85000,415300,0
07/10/2006,16:00:00,69.57000,69.85000,67.64000,69.56000,196600,0
07/11/2006,16:00:00,70.31000,70.60000,69.99000,70.08000,237700,0
07/12/2006,16:00:00,70.40000,71.14000,69.86000,71.14000,631300,0
07/13/2006,16:00:00,71.75000,73.29000,71.75000,73.25000,1626000,0
07/14/2006,16:00:00,74.15000,74.60000,73.17000,73.22000,1658400,0
07/17/2006,16:00:00,72.73000,73.21000,71.52000,71.65000,1007900,0
07/18/2006,16:00:00,72.45000,72.88000,70.13000,70.75000,1060000,0
07/19/2006,16:00:00,70.25000,70.52000,68.66000,69.85000,876500,0
07/20/2006,16:00:00,70.15000,70.35000,68.85000,69.10000,568700,0
07/21/2006,16:00:00,69.73000,70.20000,69.02000,69.52000,504200,0
07/24/2006,16:00:00,69.00000,70.18000,68.70000,70.17000,394100,0
07/25/2006,16:00:00,70.42000,70.44000,68.71000,69.00000,1088100,0
07/26/2006,16:00:00,68.91000,69.80000,68.72000,69.17000,481200,0
07/27/2006,16:00:00,69.78000,69.92000,69.18000,69.68000,367400,0
07/28/2006,16:00:00,69.05000,69.25000,67.90000,68.50000,1129500,0
07/31/2006,16:00:00,68.78000,69.68000,68.25000,69.52000,486500,0
08/01/2006,16:00:00,69.90000,70.50000,69.60000,70.15000,453100,0
08/02/2006,16:00:00,70.67000,71.42000,70.56000,71.12000,762000,0
08/03/2006,16:00:00,69.97000,70.73000,69.80000,70.56000,492300,0
08/04/2006,16:00:00,70.51000,70.51000,69.33000,69.81000,304100,0
08/07/2006,16:00:00,71.09000,72.14000,70.90000,72.00000,1375100,0
08/08/2006,16:00:00,71.50000,72.34000,71.20000,71.30000,419600,0
08/09/2006,16:00:00,71.40000,72.10000,70.94000,71.17000,488200,0
08/10/2006,16:00:00,70.46000,70.54000,69.22000,69.60000,901500,0
08/11/2006,16:00:00,69.73000,69.90000,69.17000,69.73000,301900,0
08/14/2006,16:00:00,68.60000,68.87000,68.19000,68.59000,365500,0
08/15/2006,16:00:00,68.84000,69.13000,68.18000,68.21000,238600,0
08/16/2006,16:00:00,67.94000,68.27000,67.02000,67.18000,732300,0
08/17/2006,16:00:00,66.34000,66.52000,65.70000,66.05000,916000,0
08/18/2006,16:00:00,66.28000,66.50000,65.25000,66.18000,637500,0
08/21/2006,16:00:00,66.91000,67.46000,66.50000,67.42000,960800,0
